Make,Model,Miles,Year,Exterior Color,Interior Color,Other Info,Price
Ford,F-150,"11,918 miles",2019,White,Black,"No accidents, 1 Owner, Personal use","$25,290 "
Nissan,Titan,93 miles,2019,White,Black,"No accidents, 1 Owner, Personal use","$38,962 "
Nissan,Titan,"167,325 miles",2010,Gray,Black,"No accidents, 2 Owners, Personal use","$11,999 "
Chevrolet,Silverado 1500,"14,446 miles",2018,White,Black,"No accidents, 1 Owner, Personal use","$35,990 "
Ford,F-150,"9,828 miles",2019,White,Gray,"No accidents, 1 Owner, Fleet use","$23,990 "
Chevrolet,Colorado,"166,488 miles",2008,Black,Black,"No accidents, 3 Owners, Personal use","$9,599 "
Ram,1500,"17,268 miles",2019,White,Black,"No accidents, 1 Owner, Personal use","$35,990 "
Ford,F-150,"27,691 miles",2018,Black,Gray,"1 accident, Personal use","$24,984 "
Chevrolet,Silverado 1500,"93,589 miles",2014,White,Black,"No accidents, 3 Owners, Personal use","$18,995 "
Ram,1500,"81,567 miles",2015,Silver,Gray,"No accidents, 2 Owners, Personal use","$16,995 "
Ford,F-150,"117,973 miles",2017,Black,Black,"No accidents, 1 Owner, Personal use","$27,975 "
Ford,F-150,"14,320 miles",2019,White,Gray,"No accidents, 1 Owner, Fleet use","$27,990 "
Toyota,Tundra,"51,492 miles",2017,Red,Gray,"1 accident, 3 Owners, Personal use","$29,995 "
Ford,F-150,"24,664 miles",2017,Silver,Black,"No accidents, 1 Owner, Fleet use","$33,590 "
Ram,1500 Classic,"13,100 miles",2019,Gray,Black,"No accidents, 1 Owner, Personal use","$30,990 "
Ford,F-150,"118,795 miles",2006,Blue,Beige,"No accidents, 2 Owners, Personal use","$12,994 "
Ram,1500 Classic,"12,253 miles",2019,White,Black,"No accidents, 1 Owner, Fleet use","$29,990 "
Mercedes-Benz,Sprinter Chassis Cabs,21 miles,2019,White,Black,"No accidents, 1 Owner, Personal use","$37,000 "
Ford,F-150,"21,337 miles",2019,White,Gray,"No accidents, 2 Owners, Personal use","$35,990 "
Ford,Super Duty F-250,"19,549 miles",2019,Silver,Black,"1 accident, 2 Owners, Personal use","$40,795 "
Ford,F-150,"12,256 miles",2019,White,Gray,"No accidents, 1 Owner, Personal use","$24,990 "
Toyota,Tacoma,"11,729 miles",2019,Silver,Black,"No accidents, 2 Owners, Personal use","$32,990 "
Ford,F-150,"14,419 miles",2019,White,Gray,"No accidents, 1 Owner, Fleet use","$24,590 "
Ford,F-150,"15,045 miles",2018,Black,Black,"1 accident, 1 Owner, Personal use","$45,938 "
Ford,F-150,"29,722 miles",2018,Silver,Gray,"No accidents, 2 Owners, Personal use","$35,990 "
Ford,F-150,"142,200 miles",2013,Blue,Gray,"No accidents, 3 Owners, Fleet use","$15,310 "
Chevrolet,Silverado 1500 Classic,"124,207 miles",2007,Red,Black,"1 accident, 2 Owners, Personal use","$6,999 "
Dodge,Ram 2500,"198,309 miles",2006,Gray,Unknown,"1 accident, 4 Owners, Personal use","$10,999 "
Chevrolet,Silverado 1500,"26,200 miles",2017,Black,Black,"No accidents, 1 Owner, Personal use","$31,990 "
Ford,F-150,"83,996 miles",2007,Unknown,Unknown,"No accidents, 2 Owners, Personal use","$14,299 "
Ford,F-150,"35,497 miles",2018,Red,Gray,"No accidents, 2 Owners, Personal use","$31,990 "
Nissan,Titan XD,"36,276 miles",2017,Gray,Beige,"No accidents, 1 Owner, Personal use","$37,990 "
Ford,F-150,"20,019 miles",2018,Black,Gray,"No accidents, 1 Owner, Personal use","$35,990 "
Chevrolet,Silverado 2500HD,"16,525 miles",2019,White,Black,"No accidents, 1 Owner, Personal use","$46,500 "
Ford,Super Duty F-350,"164,359 miles",2001,Blue,Beige,"No accidents, 6 Owners, Fleet use","$9,300 "
Ford,Super Duty F-250,"126,812 miles",2014,White,Gray,"No accidents, 2 Owners, Personal use","$20,999 "
Chevrolet,Silverado 1500,"68,101 miles",2014,White,Brown,"No accidents, 3 Owners, Personal use","$31,990 "
Ford,F-150,"46,259 miles",2017,Gray,Black,"No accidents, Personal use","$38,263 "
Ford,F-150,"16,543 miles",2019,Black,Gray,"No accidents, 1 Owner, Personal use","$34,000 "
Toyota,Tundra,"13,835 miles",2019,Black,Black,"No accidents, 1 Owner, Personal use","$43,990 "
Ford,Super Duty F-350,"53,262 miles",2017,Black,Gray,"No accidents, 1 Owner, Personal use","$48,987 "
Toyota,Tacoma,"6,164 miles",2019,Gray,Black,"No accidents, 1 Owner, Personal use","$35,000 "
Ford,Super Duty F-350,"192,852 miles",2012,White,Gray,"No accidents, 1 Owner, Fleet use","$11,450 "
Ford,F-150,"92,968 miles",2015,White,Gray,"No accidents, 2 Owners, Personal use","$21,990 "
Ford,F-150,"27,427 miles",2017,Blue,Gray,"No accidents, Personal use","$35,584 "
Nissan,Titan,"16,200 miles",2019,Black,Brown,"No accidents, 1 Owner, Personal use","$44,990 "
Dodge,Ram 3500,"139,251 miles",2007,White,Gray,"1 accident, 1 Owner, Personal use","$15,977 "
Chevrolet,Silverado 1500,"77,249 miles",2014,Silver,Black,"No accidents, 2 Owners, Personal use","$24,880 "
Chevrolet,Avalanche,"138,223 miles",2004,Silver,Black,"1 accident, 3 Owners, Personal use","$7,650 "
Ford,F-150,"12,703 miles",2019,White,Black,"No accidents, Personal use","$46,900 "
Chevrolet,Silverado 1500,"9,969 miles",2020,White,Black,"No accidents, 2 Owners, Personal use","$40,990 "
Ram,1500,"55,299 miles",2019,White,Black,"No accidents, 1 Owner, Personal use","$32,800 "
Ford,F-150,"24,833 miles",2019,White,Black,"No accidents, 1 Owner, Personal use","$45,548 "
Ford,F-150,"257,700 miles",2008,Gray,Gray,"No accidents, 3 Owners, Personal use","$5,987 "
Ram,1500,"85,598 miles",2015,Gray,Gray,"1 accident, 2 Owners, Fleet use","$25,980 "
Nissan,Frontier,"14,342 miles",2019,White,Unknown,"No accidents, 1 Owner, Personal use","$26,197 "
Ford,F-150,"24,185 miles",2017,Silver,Gray,"No accidents, 1 Owner, Personal use","$37,590 "
Ford,Ranger,"23,575 miles",2019,Silver,Unknown,"No accidents, 1 Owner, Personal use","$30,897 "
Chevrolet,Silverado 1500,"23,736 miles",2018,Black,Black,"No accidents, 1 Owner, Personal use","$32,990 "
GMC,Sierra 1500,"121,217 miles",2002,White,Unknown,"No accidents, 1 Owner, Personal use","$6,999 "
Ford,F-150,"21,024 miles",2019,Gray,Gray,"No accidents, 1 Owner, Personal use","$45,750 "
Ford,F-150,"25,511 miles",2019,White,Black,"No accidents, 1 Owner, Personal use","$46,495 "
Ford,F-150,"17,591 miles",2018,Blue,Gray,"No accidents, 1 Owner, Personal use","$40,768 "
Ford,F-150,"49,439 miles",2016,Gray,Black,"No accidents, 1 Owner, Personal use","$35,873 "
Ford,F-150,"39,453 miles",2019,White,Black,"No accidents, 1 Owner, Personal use","$43,423 "
Ford,F-150,"34,943 miles",2019,White,Black,"No accidents, 1 Owner, Personal use","$44,507 "
Ram,1500,"9,403 miles",2019,Black,Black,"No accidents, 1 Owner, Personal use","$56,419 "
Ford,F-150,"27,530 miles",2019,Gray,Black,"No accidents, 1 Owner, Personal use","$46,973 "
Ford,F-150,"103,632 miles",2016,Silver,Gray,"2 accidents, 1 Owner, Personal use","$27,600 "
Dodge,Ram 3500,"139,251 miles",2007,White,Gray,"1 accident, 1 Owner, Personal use","$15,977 "
Ford,F-150,"27,142 miles",2019,Unknown,Gray,"No accidents, Personal use","$40,950 "
Chevrolet,Silverado 2500HD,"10,967 miles",2019,White,Black,"No accidents, Personal use","$42,950 "
Ford,Super Duty F-250,"48,737 miles",2017,White,Gray,"No accidents, Personal use","$38,950 "
Ram,3500,"18,751 miles",2019,Unknown,Black,"No accidents, 1 Owner, Personal use","$58,950 "
Ford,F-150,"31,638 miles",2019,White,Gray,"No accidents, 1 Owner, Personal use","$40,450 "
Ford,F-150,"141,882 miles",2008,Silver,Gray,"No accidents, 1 Owner, Personal use","$9,975 "
Ford,F-150,"117,973 miles",2017,Black,Black,"No accidents, 1 Owner, Personal use","$27,975 "
Ford,F-150,"56,467 miles",2015,Black,Unknown,"No accidents, 2 Owners, Personal use","$33,499 "
Ford,Super Duty F-350,"165,920 miles",2011,Red,Unknown,"No accidents, 3 Owners, Personal use","$26,999 "
Chevrolet,Colorado,"10,877 miles",2020,Black,Black,"No accidents, 1 Owner, Fleet use","$29,999 "
Toyota,Tacoma,"56,787 miles",2018,Tan,Unknown,"No accidents, 2 Owners, Personal use","$31,999 "
Ram,1500,"13,508 miles",2018,White,Gray,"1 accident, 2 Owners, Personal use","$24,999 "
Ford,F-150,"83,996 miles",2007,Unknown,Unknown,"No accidents, 2 Owners, Personal use","$14,299 "
Ram,2500,"29,707 miles",2017,White,Gray,"No accidents, 3 Owners, Fleet use","$27,999 "
Nissan,Titan,"167,325 miles",2010,Gray,Black,"No accidents, 2 Owners, Personal use","$11,999 "
Ford,F-150,"169,504 miles",2011,Unknown,Gray,"1 accident, 2 Owners, Personal use","$12,199 "
Chevrolet,Colorado,"166,488 miles",2008,Black,Black,"No accidents, 3 Owners, Personal use","$9,599 "
Dodge,Ram 1500,"215,220 miles",2007,Maroon,Unknown,"No accidents, 1 Owner, Personal use","$10,000 "
Ford,Super Duty F-350,"17,062 miles",2019,Black,Black,"No accidents, 1 Owner, Personal use","$69,286 "
Ford,Super Duty F-350,"205,536 miles",2004,Unknown,Unknown,"No accidents, 4 Owners, Fleet use","$12,599 "
GMC,Sierra 2500HD,"130,129 miles",2015,Gray,Black,"No accidents, 1 Owner, Personal use","$25,499 "
Chevrolet,Silverado 1500,"100,316 miles",2012,Silver,Black,"No accidents, 1 Owner, Personal use","$18,990 "
Ford,F-150,"15,045 miles",2018,Black,Black,"1 accident, 1 Owner, Personal use","$45,938 "
Ford,F-150,"35,497 miles",2018,Red,Gray,"No accidents, 2 Owners, Personal use","$31,990 "
GMC,Sierra 3500HD,"82,225 miles",2015,White,Black,"No accidents, Personal use","$29,995 "
Ford,Super Duty F-250,"129,933 miles",2015,White,Gray,"No accidents, 1 Owner, Fleet use","$17,995 "
Chevrolet,Silverado 1500,"12,395 miles",2019,Silver,Black,"No accidents, 1 Owner, Personal use","$34,990 "
Chevrolet,Silverado 2500HD,"193,109 miles",2013,White,Black,"No accidents, 2 Owners, Fleet use","$12,900 "
Ford,F-150,"6,653 miles",2019,White,Gray,"No accidents, 1 Owner, Personal use","$26,570 "
Nissan,Frontier,"55,132 miles",2012,Red,Gray,"No accidents, 2 Owners, Personal use","$14,168 "
Ford,F-150,"20,019 miles",2018,Black,Gray,"No accidents, 1 Owner, Personal use","$35,990 "
Ford,F-150,"257,700 miles",2008,Gray,Gray,"No accidents, 3 Owners, Personal use","$5,987 "
Ford,Super Duty F-350,"9,414 miles",2019,White,Unknown,"No accidents, Personal use","$48,995 "
Ram,1500,"89,456 miles",2014,Black,Unknown,"No accidents, Personal use","$19,875 "
Ram,1500,"37,586 miles",2017,White,Red,"No accidents, 2 Owners, Fleet use","$37,990 "
GMC,Sierra 2500HD,"71,649 miles",2014,White,Gray,"No accidents, 1 Owner, Personal use","$25,950 "
Toyota,Tacoma,"127,100 miles",2011,White,Gray,"No accidents, 3 Owners, Fleet use","$8,995 "
Ford,Super Duty F-350,"220,094 miles",2016,Silver,Black,"No accidents, 1 Owner, Personal use","$30,000 "
Ford,Super Duty F-350,"192,852 miles",2012,White,Gray,"No accidents, 1 Owner, Fleet use","$11,450 "
Ford,Ranger,"123,976 miles",2011,White,Gray,"1 accident, 2 Owners, Personal use","$11,400 "
Honda,Ridgeline,"21,286 miles",2017,Gray,Black,"No accidents, 1 Owner, Personal use","$33,990 "
Ford,Super Duty F-550,"42,738 miles",2018,White,Gray,"No accidents, 1 Owner, Personal use","$50,995 "
Ram,1500 Classic,"20,530 miles",2019,Silver,Black,"No accidents, 1 Owner, Personal use","$29,500 "
Ram,1500,"74,090 miles",2017,White,Gray,"No accidents, 2 Owners, Personal use","$17,472 "
Chevrolet,Silverado 2500HD,"108,206 miles",2017,White,Gray,"No accidents, 1 Owner, Personal use","$25,400 "
Ram,1500,"148,916 miles",2014,Gray,Gray,"No accidents, 2 Owners, Personal use","$13,181 "
Ford,F-150,"169,770 miles",2014,Silver,Gray,"No accidents, 3 Owners, Personal use","$12,900 "
Ford,F-150,"83,819 miles",2013,Red,Unknown,"No accidents, 2 Owners, Personal use","$21,910 "
Chevrolet,Silverado 1500,"8,758 miles",2019,White,Black,"No accidents, 1 Owner, Personal use","$45,990 "
Ford,Super Duty F-350 Chassis Cab,"189,714 miles",2011,White,Gray,"No accidents, 2 Owners, Personal use","$15,995 "
Ford,Super Duty F-250,"126,812 miles",2014,White,Gray,"No accidents, 2 Owners, Personal use","$20,999 "
Ford,Super Duty F-250,"19,549 miles",2019,Silver,Black,"1 accident, 2 Owners, Personal use","$40,795 "
Ram,1500 Classic,"20,530 miles",2019,Silver,Black,"No accidents, 1 Owner, Personal use","$29,500 "
Ford,Ranger,"17,565 miles",2019,White,Black,"No accidents, 1 Owner, Fleet use","$32,990 "
Ram,1500,"3,174 miles",2019,Silver,Black,"No accidents, 1 Owner, Personal use","$48,990 "
Ford,F-150,"34,586 miles",2019,White,Black,"No accidents, 1 Owner, Personal use","$44,498 "
Honda,Ridgeline,"21,286 miles",2017,Gray,Black,"No accidents, 1 Owner, Personal use","$33,990 "
Chevrolet,Silverado 1500,"17,280 miles",2019,Blue,Black,"No accidents, 1 Owner, Personal use","$39,990 "
Ram,1500,"84,872 miles",2014,Red,Beige,"No accidents, 2 Owners, Personal use","$19,990 "
Toyota,Tacoma,"6,164 miles",2019,Gray,Black,"No accidents, 1 Owner, Personal use","$35,000 "
Toyota,Tacoma,"27,913 miles",2018,Silver,Gray,"No accidents, 1 Owner, Personal use","$31,990 "
Chevrolet,Silverado 1500,"19,967 miles",2018,Silver,Black,"No accidents, 1 Owner, Personal use","$33,990 "
Ford,F-150,"47,182 miles",2018,Black,Black,"No accidents, Personal use","$41,556 "
Ram,1500,"26,294 miles",2018,White,Black,"No accidents, 1 Owner, Personal use","$40,990 "
Chevrolet,Silverado 1500,"7,298 miles",2020,White,Black,"No accidents, 1 Owner, Personal use","$36,990 "
Ford,Super Duty F-350,"164,359 miles",2001,Blue,Beige,"No accidents, 6 Owners, Fleet use","$9,300 "
Jeep,Gladiator,"7,455 miles",2020,Red,Black,"No accidents, 1 Owner, Personal use","$41,000 "
Ram,1500,"75,935 miles",2015,Gray,Black,"No accidents, 2 Owners, Personal use","$23,880 "
Chevrolet,Silverado 1500 Classic,"124,207 miles",2007,Red,Black,"1 accident, 2 Owners, Personal use","$6,999 "
Ram,1500,"51,116 miles",2019,Gray,Black,"No accidents, 1 Owner, Personal use","$41,997 "
Chevrolet,Silverado 1500,"51,803 miles",2017,White,Black,"No accidents, 1 Owner, Personal use","$32,554 "
GMC,Sierra 2500HD,"55,657 miles",2019,White,Black,"No accidents, Personal use","$53,000 "
Ram,1500,"16,990 miles",2017,Black,Gray,"No accidents, Personal use","$31,250 "
Ford,F-150,"34,943 miles",2019,White,Black,"No accidents, 1 Owner, Personal use","$44,507 "
Nissan,Titan,"28,330 miles",2019,Blue,Black,"No accidents, 1 Owner, Personal use","$35,990 "
Ford,F-150,"93,998 miles",2012,Blue,Unknown,"No accidents, 2 Owners, Personal use","$22,847 "
Chevrolet,Silverado 1500,"12,690 miles",2019,White,Black,"No accidents, 2 Owners, Personal use","$48,990 "
Ford,Super Duty F-250,"126,841 miles",2003,Gray,Gray,"No accidents, 2 Owners, Personal use","$10,647 "
Chevrolet,Silverado 2500HD,"34,266 miles",2017,White,Unknown,"No accidents, Personal use","$37,177 "
Chevrolet,SSR,"21,510 miles",2005,Black,Black,"No accidents, 2 Owners, Personal use","$27,500 "
Ford,F-150,"17,257 miles",2019,White,Unknown,"No accidents, 1 Owner, Personal use","$58,500 "
Ram,1500,"47,444 miles",2014,White,Gray,"No accidents, 1 Owner, Personal use","$23,291 "
Nissan,Titan,"29,009 miles",2017,Red,Black,"No accidents, 2 Owners, Personal use","$30,500 "
Chevrolet,Silverado 1500,"47,625 miles",2013,White,Gray,"No accidents, 2 Owners, Personal use","$30,976 "
Chevrolet,Silverado 2500HD,"26,669 miles",2019,White,Black,"No accidents, 1 Owner, Personal use","$61,000 "
Ford,F-150,"83,614 miles",2017,Silver,Black,"No accidents, 2 Owners, Personal use","$34,500 "
Ram,1500,"43,581 miles",2017,Silver,Brown,"No accidents, 1 Owner, Personal use","$33,400 "
Jeep,Gladiator,"26,238 miles",2020,Red,Black,"No accidents, 1 Owner, Personal use","$40,990 "
Ram,1500,"85,598 miles",2015,Gray,Gray,"1 accident, 2 Owners, Fleet use","$25,980 "
Chevrolet,Silverado 2500HD,"16,525 miles",2019,White,Black,"No accidents, 1 Owner, Personal use","$46,500 "
Chevrolet,Colorado,"17,211 miles",2018,Red,Black,"No accidents, 1 Owner, Personal use","$25,590 "
Jeep,Gladiator,"25,579 miles",2020,Black,Black,"No accidents, 1 Owner, Personal use","$41,590 "
Ford,F-150,"16,543 miles",2019,Black,Gray,"No accidents, 1 Owner, Personal use","$34,000 "
Chevrolet,Silverado 1500,"15,248 miles",2019,Silver,Black,"No accidents, 1 Owner, Personal use","$51,214 "
Ram,1500,"74,483 miles",2014,Black,Black,"No accidents, 1 Owner, Personal use","$26,950 "
Ram,1500,"22,622 miles",2018,Red,Black,"No accidents, Personal use","$40,400 "
Ram,1500,"122,532 miles",2014,White,Red,"No accidents, Personal use","$23,498 "
Toyota,Tacoma,"123,668 miles",2006,Blue,Gray,"No accidents, 1 Owner, Personal use","$12,476 "
Ram,1500,"16,456 miles",2019,Red,Black,"No accidents, 1 Owner, Personal use","$46,000 "
Ford,F-150,"83,819 miles",2013,Red,Unknown,"No accidents, 2 Owners, Personal use","$21,910 "
Chevrolet,Silverado 1500,656 miles,2020,Brown,Black,"No accidents, 1 Owner, Personal use","$35,590 "
Ford,F-150,"5,569 miles",2019,Red,Black,"No accidents, 1 Owner, Fleet use","$42,990 "
Chevrolet,Colorado,"39,805 miles",2017,Gray,Black,"No accidents, 1 Owner, Personal use","$36,000 "
Chevrolet,Colorado,"21,768 miles",2017,Red,Black,"No accidents, 1 Owner, Personal use","$33,990 "
Ford,F-150,"104,372 miles",2016,White,Gray,"No accidents, 1 Owner, Fleet use","$21,995 "
Ford,Super Duty F-350,"230,409 miles",2009,Gray,Black,"No accidents, 1 Owner, Personal use","$17,277 "
Chevrolet,Silverado 2500HD,"10,967 miles",2019,White,Black,"No accidents, Personal use","$42,950 "
Toyota,Tacoma,"10,466 miles",2019,Gray,Gray,"No accidents, 1 Owner, Personal use","$39,990 "
Chevrolet,Colorado,"30,186 miles",2017,Black,Black,"No accidents, 1 Owner, Personal use","$34,750 "
Ram,1500,"27,971 miles",2017,White,Gray,"No accidents, 1 Owner, Personal use","$30,990 "
Ford,F-150,"13,868 miles",2019,Black,Beige,"No accidents, 1 Owner, Personal use","$55,950 "
Ford,F-150,"10,448 miles",2018,White,Gray,"No accidents, 1 Owner, Personal use","$35,470 "
Ford,F-150,"60,449 miles",2016,White,Gray,"No accidents, 1 Owner, Personal use","$29,200 "
Toyota,Tacoma,"2,758 miles",2020,White,Gray,"No accidents, 1 Owner, Personal use","$37,990 "
Ford,F-150,"5,663 miles",2020,Gray,Black,"No accidents, 1 Owner, Personal use","$69,495 "
Ford,Super Duty F-350,"220,094 miles",2016,Silver,Black,"No accidents, 1 Owner, Personal use","$30,000 "
Chevrolet,Silverado 1500,"20,648 miles",2019,Gray,Black,"No accidents, Personal use","$49,500 "
Chevrolet,Silverado 1500,"20,851 miles",2019,Gray,Black,"No accidents, 1 Owner, Personal use","$44,990 "
Ram,2500,"29,707 miles",2017,White,Gray,"No accidents, 3 Owners, Fleet use","$27,999 "
Ford,F-150,"23,915 miles",2018,White,Black,"No accidents, 1 Owner, Personal use","$49,938 "
Ford,F-150,"18,598 miles",2018,Black,Gray,"No accidents, 1 Owner, Fleet use","$37,990 "
Chevrolet,Silverado 2500HD,"89,205 miles",2012,White,Black,"No accidents, 3 Owners, Personal use","$27,996 "
Chevrolet,Silverado 1500,"146,027 miles",2009,Silver,Gray,"No accidents, 2 Owners, Personal use","$11,900 "
Ford,F-150,"26,862 miles",2018,White,Gray,"No accidents, 1 Owner, Personal use","$36,587 "
Toyota,Tundra,"1,231 miles",2020,Brown,Black,"No accidents, Personal use","$49,165 "
Toyota,Tacoma,"5,996 miles",2020,Silver,Gray,"No accidents, 1 Owner, Personal use","$41,990 "
Toyota,Tacoma,"27,721 miles",2017,Orange,Gray,"No accidents, 2 Owners, Personal use","$31,990 "
Toyota,Tacoma,"16,462 miles",2018,White,Black,"No accidents, 1 Owner, Personal use","$33,590 "
Nissan,Titan XD,"25,448 miles",2017,Blue,Black,"No accidents, 3 Owners, Personal use","$39,990 "
Ford,F-150,"21,530 miles",2013,Black,Black,"No accidents, 1 Owner, Personal use","$43,990 "
Ford,F-150,"83,996 miles",2007,Unknown,Unknown,"No accidents, 2 Owners, Personal use","$14,299 "
Ford,Super Duty F-350,"38,552 miles",2018,White,Gray,"No accidents, 1 Owner, Personal use","$41,795 "
Ford,F-150,"38,566 miles",2018,Gray,Gray,"No accidents, 1 Owner, Personal use","$37,990 "
Ford,F-150,"110,432 miles",2011,Gray,Gray,"1 accident, 2 Owners, Personal use","$16,877 "
Ford,Super Duty F-350,"88,886 miles",2007,Beige,Beige,"No accidents, 2 Owners, Personal use","$18,354 "
Ford,F-150,"18,537 miles",2017,Blue,Gray,"No accidents, Personal use","$33,980 "
Chevrolet,Colorado,"7,540 miles",2018,Blue,Black,"No accidents, 1 Owner, Personal use","$35,990 "
Ford,Super Duty F-250,"66,312 miles",2017,White,Gray,"No accidents, 1 Owner, Personal use","$40,000 "
Ford,F-150,"89,000 miles",2017,White,Gray,"No accidents, 1 Owner, Personal use","$25,989 "
GMC,Sierra 1500,"51,867 miles",2017,Gray,Black,"No accidents, 1 Owner, Personal use","$44,590 "
GMC,Sierra 3500HD,"177,516 miles",2008,White,Black,"No accidents, 1 Owner, Personal use","$14,995 "
GMC,Sierra 1500,"68,650 miles",2014,Black,Black,"1 accident, 2 Owners, Personal use","$13,988 "
Toyota,Tacoma,"10,466 miles",2019,Gray,Gray,"No accidents, 1 Owner, Personal use","$39,990 "
Chevrolet,Colorado,"98,806 miles",2015,White,Black,"1 accident, 1 Owner, Personal use","$10,599 "
Ford,Super Duty F-350,"192,391 miles",2004,White,Unknown,"No accidents, 2 Owners, Personal use","$10,000 "
Ford,F-150,"191,623 miles",2011,Unknown,Unknown,"1 accident, 2 Owners, Fleet use","$8,688 "
Ram,1500,"72,934 miles",2015,Silver,Gray,"No accidents, 2 Owners, Personal use","$23,444 "
Nissan,Titan XD,"21,984 miles",2018,Black,Black,"No accidents, 1 Owner, Personal use","$31,999 "
Ford,F-150,"27,427 miles",2017,Blue,Gray,"No accidents, Personal use","$35,584 "
Ram,1500,"36,296 miles",2018,Gray,Gray,"No accidents, 1 Owner, Personal use","$28,956 "
Ford,F-150,"16,549 miles",2018,Red,Gray,"No accidents, 2 Owners, Personal use","$35,990 "
Ford,F-150,"17,252 miles",2020,Black,Black,"No accidents, 1 Owner, Personal use","$54,534 "
Ram,1500 Classic,"8,528 miles",2019,Gray,Black,"No accidents, 1 Owner, Fleet use","$31,499 "
Chevrolet,Silverado 1500,"7,298 miles",2020,White,Black,"No accidents, 1 Owner, Personal use","$36,990 "
Ram,1500,"68,696 miles",2015,White,Gray,"No accidents, 2 Owners, Personal use","$21,988 "
Dodge,Ram 1500,"215,220 miles",2007,Maroon,Unknown,"No accidents, 1 Owner, Personal use","$10,000 "
Ford,Ranger,"17,565 miles",2019,White,Black,"No accidents, 1 Owner, Fleet use","$32,990 "
Ford,F-150,"73,250 miles",2016,White,Gray,"2 accidents, 2 Owners, Personal use","$24,888 "
Ford,F-150,"101,089 miles",2014,Blue,Gray,"No accidents, 2 Owners, Personal use","$14,350 "
Ford,Super Duty F-250,"161,676 miles",2008,Red,Gray,"No accidents, 2 Owners, Personal use","$11,400 "
Ford,Super Duty F-350,"80,556 miles",2017,White,Unknown,"No accidents, Personal use","$33,995 "
Ford,Super Duty F-350,"53,774 miles",2017,White,Unknown,"No accidents, Personal use","$38,994 "
Nissan,Titan,"27,934 miles",2017,White,Black,"No accidents, 1 Owner, Personal use","$35,880 "
Dodge,Ram 1500,"116,784 miles",2006,Red,Gray,"No accidents, 1 Owner, Personal use","$7,995 "
Chevrolet,Express Commercial Cutaway,17 miles,2014,White,Beige,"No accidents, 1 Owner, Fleet use","$22,999 "
Ford,F-150,"353,581 miles",2007,White,Unknown,"No accidents, 1 Owner, Personal use","$2,500 "
Ford,Super Duty F-350,"65,940 miles",2017,White,Gray,"No accidents, 1 Owner, Personal use","$35,900 "
Ford,F-150,"76,406 miles",2017,White,Unknown,"No accidents, 1 Owner, Fleet use","$23,950 "
Ford,F-150,"102,651 miles",2014,White,Unknown,"1 accident, 2 Owners, Fleet use","$11,885 "
GMC,Sierra 2500HD,"145,395 miles",2011,White,Gray,"1 accident, 2 Owners, Fleet use","$14,337 "
Ford,F-150,"10,338 miles",2020,White,Black,"No accidents, 1 Owner, Personal use","$46,995 "
Ford,F-150,"49,853 miles",2015,Gray,Unknown,"No accidents, 1 Owner, Personal use","$26,500 "
Ram,1500,"81,567 miles",2015,Silver,Gray,"No accidents, 2 Owners, Personal use","$16,995 "
Ford,F-150,"107,465 miles",2006,Black,Beige,"1 accident, 1 Owner, Personal use","$12,469 "
Chevrolet,Silverado 1500,"109,774 miles",2016,Blue,Black,"No accidents, 1 Owner, Personal use","$28,995 "
Ford,F-150,"39,906 miles",2017,White,Gray,"No accidents, 1 Owner, Personal use","$39,990 "
Toyota,Tacoma,"8,003 miles",2019,White,Unknown,"No accidents, 1 Owner, Personal use","$40,590 "
Toyota,Tundra,"38,314 miles",2018,Gray,Unknown,"No accidents, 1 Owner, Fleet use","$36,990 "
Ford,F-150,"13,291 miles",2019,White,Gray,"No accidents, Personal use","$38,289 "
Chevrolet,Silverado 1500,"81,712 miles",2018,Silver,Black,"No accidents, 1 Owner, Personal use","$32,220 "
GMC,Sierra 1500,"24,692 miles",2018,Black,Brown,"No accidents, 1 Owner, Personal use","$44,990 "
Toyota,Tacoma,"65,154 miles",2016,White,Gray,"No accidents, 3 Owners, Personal use","$27,990 "
Ford,F-150,"75,066 miles",2012,White,Unknown,"No accidents, 2 Owners, Personal use","$33,490 "
Ford,Super Duty F-250,"40,741 miles",2019,White,Black,"No accidents, 2 Owners, Personal use","$58,780 "
Ford,F-150,"40,001 miles",2018,Gray,Gray,"No accidents, Personal use","$35,813 "
Ram,1500,"135,973 miles",2012,White,Gray,"No accidents, 3 Owners, Personal use","$15,378 "
Ford,Super Duty F-250,"57,191 miles",2019,Unknown,Black,"No accidents, 1 Owner, Personal use","$52,998 "
Ram,1500,"30,534 miles",2017,Blue,Gray,"No accidents, 1 Owner, Personal use","$28,400 "
Ford,F-150,"15,396 miles",2018,White,Gray,"No accidents, 1 Owner, Personal use","$29,977 "
Ford,F-150,"35,466 miles",2018,Black,Black,"No accidents, 2 Owners, Personal use","$38,611 "
Ram,2500,"141,154 miles",2012,White,Gray,"No accidents, 5 Owners, Personal use","$18,000 "
Ford,Super Duty F-450 Chassis Cab,"32,340 miles",2017,Unknown,Gray,"No accidents, 2 Owners, Fleet use","$30,852 "
Nissan,Frontier,"64,486 miles",2014,Red,Gray,"No accidents, 2 Owners, Personal use","$23,990 "
Ford,F-150,"53,253 miles",2014,Unknown,Gray,"1 accident, 3 Owners, Personal use","$22,599 "
Nissan,Titan,"30,607 miles",2017,Black,Black,"No accidents, 1 Owner, Personal use","$38,990 "
